run_id,algorithm,tor_id,interface,sample_start_ns,sample_finish_ns,transmitted_bytes
920128101,fecmp,135,17,2010000000,2110310000,1002958760
920128101,fecmp,135,18,2010000000,2110310000,1108319760
920128101,fecmp,135,19,2010000000,2110310000,1010104952
920128101,fecmp,135,20,2010000000,2110310000,1143871708
920128101,fecmp,135,21,2010000000,2110310000,1116742624
920128101,fecmp,135,22,2010000000,2110310000,1036613872
920128101,fecmp,135,23,2010000000,2110310000,925212072
920128101,fecmp,135,24,2010000000,2110310000,984252540
920128102,letflow,128,17,2010000000,2128990000,1040254796
920128102,letflow,128,18,2010000000,2128990000,1169373828
920128102,letflow,128,19,2010000000,2128990000,1235929132
920128102,letflow,128,20,2010000000,2128990000,1112095440
920128102,letflow,128,21,2010000000,2128990000,983479268
920128102,letflow,128,22,2010000000,2128990000,811428328
920128102,letflow,128,23,2010000000,2128990000,1109830200
920128102,letflow,128,24,2010000000,2128990000,865686376
920128102,letflow,129,17,2010000000,2128990000,1180083464
920128102,letflow,129,18,2010000000,2128990000,1046453308
920128102,letflow,129,19,2010000000,2128990000,988147948
920128102,letflow,129,20,2010000000,2128990000,1003633856
920128102,letflow,129,21,2010000000,2128990000,1021171012
920128102,letflow,129,22,2010000000,2128990000,997092464
920128102,letflow,129,23,2010000000,2128990000,1137966892
920128102,letflow,129,24,2010000000,2128990000,953539920
920128102,letflow,130,17,2010000000,2128990000,1015525708
920128102,letflow,130,18,2010000000,2128990000,1038409052
920128102,letflow,130,19,2010000000,2128990000,1045153500
920128102,letflow,130,20,2010000000,2128990000,979978268
920128102,letflow,130,21,2010000000,2128990000,999140112
920128102,letflow,130,22,2010000000,2128990000,1310524496
920128102,letflow,130,23,2010000000,2128990000,952481332
920128102,letflow,130,24,2010000000,2128990000,986869180
920128102,letflow,131,17,2010000000,2128990000,1020056188
920128102,letflow,131,18,2010000000,2128990000,1049045764
920128102,letflow,131,19,2010000000,2128990000,1172376056
920128102,letflow,131,20,2010000000,2128990000,942291328
920128102,letflow,131,21,2010000000,2128990000,1124392216
920128102,letflow,131,22,2010000000,2128990000,1076426548
920128102,letflow,131,23,2010000000,2128990000,897579588
920128102,letflow,131,24,2010000000,2128990000,1045908600
920128102,letflow,132,17,2010000000,2128990000,1027418688
920128102,letflow,132,18,2010000000,2128990000,1025338908
920128102,letflow,132,19,2010000000,2128990000,1230444744
920128102,letflow,132,20,2010000000,2128990000,1052354544
920128102,letflow,132,21,2010000000,2128990000,868291664
920128102,letflow,132,22,2010000000,2128990000,1095311720
920128102,letflow,132,23,2010000000,2128990000,1048835984
920128102,letflow,132,24,2010000000,2128990000,980082372
920128102,letflow,133,17,2010000000,2128990000,920564708
920128102,letflow,133,18,2010000000,2128990000,1028829344
920128102,letflow,133,19,2010000000,2128990000,1052938028
920128102,letflow,133,20,2010000000,2128990000,1093389040
920128102,letflow,133,21,2010000000,2128990000,1173634556
920128102,letflow,133,22,2010000000,2128990000,1014383852
920128102,letflow,133,23,2010000000,2128990000,969923812
920128102,letflow,133,24,2010000000,2128990000,1074412948
920128102,letflow,134,17,2010000000,2128990000,990023468
920128102,letflow,134,18,2010000000,2128990000,927846884
920128102,letflow,134,19,2010000000,2128990000,1056093364
920128102,letflow,134,20,2010000000,2128990000,1400345316
920128102,letflow,134,21,2010000000,2128990000,929498308
920128102,letflow,134,22,2010000000,2128990000,884024132
920128102,letflow,134,23,2010000000,2128990000,1174594664
920128102,letflow,134,24,2010000000,2128990000,965650152
920128102,letflow,135,17,2010000000,2128990000,997374664
920128102,letflow,135,18,2010000000,2128990000,981170736
920128102,letflow,135,19,2010000000,2128990000,1302027272
920128102,letflow,135,20,2010000000,2128990000,900887172
920128102,letflow,135,21,2010000000,2128990000,1091994088
920128102,letflow,135,22,2010000000,2128990000,1018892880
920128102,letflow,135,23,2010000000,2128990000,1051481128
920128102,letflow,135,24,2010000000,2128990000,984253588
920128103,conweave,128,17,2010000000,2108280000,1114504610
920128103,conweave,128,18,2010000000,2108280000,1111732156
920128103,conweave,128,19,2010000000,2108280000,1113095213
920128103,conweave,128,20,2010000000,2108280000,1110538976
920128103,conweave,128,21,2010000000,2108280000,1113137656
920128103,conweave,128,22,2010000000,2108280000,1105398495
920128103,conweave,128,23,2010000000,2108280000,1111267820
920128103,conweave,128,24,2010000000,2108280000,1095013782
920128103,conweave,129,17,2010000000,2108280000,1113385114
920128103,conweave,129,18,2010000000,2108280000,1113231324
920128103,conweave,129,19,2010000000,2108280000,1112599263
920128103,conweave,129,20,2010000000,2108280000,1105815000
920128103,conweave,129,21,2010000000,2108280000,1106023610
920128103,conweave,129,22,2010000000,2108280000,1112180094
920128103,conweave,129,23,2010000000,2108280000,1103017463
920128103,conweave,129,24,2010000000,2108280000,1114897128
920128103,conweave,130,17,2010000000,2108280000,1113731926
920128103,conweave,130,18,2010000000,2108280000,1118414143
920128103,conweave,130,19,2010000000,2108280000,1109860724
920128103,conweave,130,20,2010000000,2108280000,1101089993
920128103,conweave,130,21,2010000000,2108280000,1107218251
920128103,conweave,130,22,2010000000,2108280000,1111788124
920128103,conweave,130,23,2010000000,2108280000,1107918781
920128103,conweave,130,24,2010000000,2108280000,1107380429
920128103,conweave,131,17,2010000000,2108280000,1119469725
920128103,conweave,131,18,2010000000,2108280000,1116965068
920128103,conweave,131,19,2010000000,2108280000,1107755915
920128103,conweave,131,20,2010000000,2108280000,1104113543
920128103,conweave,131,21,2010000000,2108280000,1099343760
920128103,conweave,131,22,2010000000,2108280000,1108923016
920128103,conweave,131,23,2010000000,2108280000,1106669064
920128103,conweave,131,24,2010000000,2108280000,1113461324
920128103,conweave,132,17,2010000000,2108280000,1110736582
920128103,conweave,132,18,2010000000,2108280000,1097811086
920128103,conweave,132,19,2010000000,2108280000,1118530676
920128103,conweave,132,20,2010000000,2108280000,1113982336
920128103,conweave,132,21,2010000000,2108280000,1103447938
920128103,conweave,132,22,2010000000,2108280000,1117008975
920128103,conweave,132,23,2010000000,2108280000,1114299030
920128103,conweave,132,24,2010000000,2108280000,1102030942
920128103,conweave,133,17,2010000000,2108280000,1117359196
920128103,conweave,133,18,2010000000,2108280000,1104014149
920128103,conweave,133,19,2010000000,2108280000,1107828440
920128103,conweave,133,20,2010000000,2108280000,1110320247
920128103,conweave,133,21,2010000000,2108280000,1116605645
920128103,conweave,133,22,2010000000,2108280000,1111786058
920128103,conweave,133,23,2010000000,2108280000,1108501314
920128103,conweave,133,24,2010000000,2108280000,1105927596
920128103,conweave,134,17,2010000000,2108280000,1113294408
920128103,conweave,134,18,2010000000,2108280000,1103675968
920128103,conweave,134,19,2010000000,2108280000,1117791627
920128103,conweave,134,20,2010000000,2108280000,1114787148
920128103,conweave,134,21,2010000000,2108280000,1101560892
920128103,conweave,134,22,2010000000,2108280000,1118135914
920128103,conweave,134,23,2010000000,2108280000,1096852445
920128103,conweave,134,24,2010000000,2108280000,1109565108
920128103,conweave,135,17,2010000000,2108280000,1112232312
920128103,conweave,135,18,2010000000,2108280000,1112555176
920128103,conweave,135,19,2010000000,2108280000,1095649980
920128103,conweave,135,20,2010000000,2108280000,1106582036
920128103,conweave,135,21,2010000000,2108280000,1117755088
920128103,conweave,135,22,2010000000,2108280000,1107369792
920128103,conweave,135,23,2010000000,2108280000,1105219700
920128103,conweave,135,24,2010000000,2108280000,1118382256
920128104,conweave,128,17,2010000000,2107140000,1113392882
920128104,conweave,128,18,2010000000,2107140000,1105812544
920128104,conweave,128,19,2010000000,2107140000,1110255428
920128104,conweave,128,20,2010000000,2107140000,1108659792
920128104,conweave,128,21,2010000000,2107140000,1103459508
920128104,conweave,128,22,2010000000,2107140000,1107216072
920128104,conweave,128,23,2010000000,2107140000,1104200855
920128104,conweave,128,24,2010000000,2107140000,1098458112
920128104,conweave,129,17,2010000000,2107140000,1113468528
920128104,conweave,129,18,2010000000,2107140000,1101094904
920128104,conweave,129,19,2010000000,2107140000,1105985156
920128104,conweave,129,20,2010000000,2107140000,1105512476
920128104,conweave,129,21,2010000000,2107140000,1092574656
920128104,conweave,129,22,2010000000,2107140000,1110397800
920128104,conweave,129,23,2010000000,2107140000,1107234008
920128104,conweave,129,24,2010000000,2107140000,1114141292
920128104,conweave,130,17,2010000000,2107140000,1110306012
920128104,conweave,130,18,2010000000,2107140000,1119343929
920128104,conweave,130,19,2010000000,2107140000,1107608280
920128104,conweave,130,20,2010000000,2107140000,1104500140
920128104,conweave,130,21,2010000000,2107140000,1104057400
920128104,conweave,130,22,2010000000,2107140000,1103060405
920128104,conweave,130,23,2010000000,2107140000,1116206513
920128104,conweave,130,24,2010000000,2107140000,1088440956
920128104,conweave,131,17,2010000000,2107140000,1115835720
920128104,conweave,131,18,2010000000,2107140000,1100166060
920128104,conweave,131,19,2010000000,2107140000,1105918160
920128104,conweave,131,20,2010000000,2107140000,1106758530
920128104,conweave,131,21,2010000000,2107140000,1102644052
920128104,conweave,131,22,2010000000,2107140000,1114137544
920128104,conweave,131,23,2010000000,2107140000,1098764833
920128104,conweave,131,24,2010000000,2107140000,1106060912
920128104,conweave,132,17,2010000000,2107140000,1114257353
920128104,conweave,132,18,2010000000,2107140000,1105563476
920128104,conweave,132,19,2010000000,2107140000,1100812700
920128104,conweave,132,20,2010000000,2107140000,1103301771
920128104,conweave,132,21,2010000000,2107140000,1105747436
920128104,conweave,132,22,2010000000,2107140000,1104328224
920128104,conweave,132,23,2010000000,2107140000,1114250908
920128104,conweave,132,24,2010000000,2107140000,1103637164
920128104,conweave,133,17,2010000000,2107140000,1106945279
920128104,conweave,133,18,2010000000,2107140000,1105833795
920128104,conweave,133,19,2010000000,2107140000,1101862793
920128104,conweave,133,20,2010000000,2107140000,1104732749
920128104,conweave,133,21,2010000000,2107140000,1106381568
920128104,conweave,133,22,2010000000,2107140000,1114754067
920128104,conweave,133,23,2010000000,2107140000,1104043688
920128104,conweave,133,24,2010000000,2107140000,1107223762
920128104,conweave,134,17,2010000000,2107140000,1110337238
